Resistance,Temperature
1053617,27.5
1051707,28
1051707,28.25
1051707,28
1052661.37,28
1053617,28
1051707,27.75
1048848.75,28
1046947.62,28.75
1044102.18,29.5
1041264.43,30
1041264.43,31.5
1032797.12,32.25
1036551.81,33.75
1029055.93,34.5
1027190.18,36
1025327.81,37.5
1021613.31,38.25
1016988.75,40
1016988.75,41.5
1010548.56,42.5
1011466.12,44.25
1005060.37,45.75
1004148.43,47.5
1000509.37,49.25
997788.12,50.25
995074,52.25
994171.06,53.5
989667.68,55.75
987871.93,57.25
984289.81,58.75
982503.37,61
980720.37,61.75
980720.37,64.25
976275.87,65.75
970968.12,67.25
971850.75,69
970086.25,71
967445.06,72.25
965688.12,73.75
963058.37,75.75
961308.93,77
959562.56,78.75
958690.62,80.25
956079.12,82.5
955209.87,83.5
952607.56,85.5
951741.68,87.5
950011.81,88.5
948285,90.25
945700.43,91.5
944840.37,93.25
944840.37,94.75
942264.43,95.75
941407.43,97
939695.31,98.5
937986.12,100
